game_uuid,genre_id
F69CE6ED-0396-4AFC-8058-90D43BEA2006,12
F69CE6ED-0396-4AFC-8058-90D43BEA2006,14
F69CE6ED-0396-4AFC-8058-90D43BEA2006,31
42AE77B3-0AD3-4032-9AF4-EE2950CF1CC2,14
E733C623-327A-4ACE-A94B-EFC809695B12,25
E733C623-327A-4ACE-A94B-EFC809695B12,31
2A53F53F-2686-4C27-B7AD-50D534218660,25
2A53F53F-2686-4C27-B7AD-50D534218660,31
877B57D5-4871-4B92-BB8E-DF4D588D0DC4,12
877B57D5-4871-4B92-BB8E-DF4D588D0DC4,31
ED1923AE-8B39-4A76-9072-7109EF2CBD6D,25
ED1923AE-8B39-4A76-9072-7109EF2CBD6D,12
ED1923AE-8B39-4A76-9072-7109EF2CBD6D,31
E8A1EE37-4EA5-4ADF-B865-55379C112A32,9
E8A1EE37-4EA5-4ADF-B865-55379C112A32,15
E8A1EE37-4EA5-4ADF-B865-55379C112A32,33
E8A1EE37-4EA5-4ADF-B865-55379C112A32,13
E8A1EE37-4EA5-4ADF-B865-55379C112A32,32
35FF2868-6677-46F0-8A5D-CB444568D72B,32
35FF2868-6677-46F0-8A5D-CB444568D72B,12
35FF2868-6677-46F0-8A5D-CB444568D72B,31
BF1E8153-251B-430D-AC20-CA8D7DA8A813,9
BF1E8153-251B-430D-AC20-CA8D7DA8A813,12
BF1E8153-251B-430D-AC20-CA8D7DA8A813,31
CC806CE8-9B17-45C5-A10F-CB24BEC99520,9
CC806CE8-9B17-45C5-A10F-CB24BEC99520,31
CC806CE8-9B17-45C5-A10F-CB24BEC99520,8
CC806CE8-9B17-45C5-A10F-CB24BEC99520,32
F61DB52F-5CEF-4C83-A95F-90BC00FB0033,15
F61DB52F-5CEF-4C83-A95F-90BC00FB0033,13
F61DB52F-5CEF-4C83-A95F-90BC00FB0033,32
F61DB52F-5CEF-4C83-A95F-90BC00FB0033,35
2CCF1DCC-6DD7-411F-88DD-091EB2BEABE8,14
7AF2D3D7-7047-4344-88D9-1BA2FD849D71,14
D2A4153D-D804-45C3-929F-FE8C088433CB,9
D2A4153D-D804-45C3-929F-FE8C088433CB,8
D2A4153D-D804-45C3-929F-FE8C088433CB,31
2D782D1E-AEA2-4A1F-96E9-299FEE63D871,15
2D782D1E-AEA2-4A1F-96E9-299FEE63D871,33
2D782D1E-AEA2-4A1F-96E9-299FEE63D871,13
2D782D1E-AEA2-4A1F-96E9-299FEE63D871,32
E576C32E-1F68-4C68-8847-BCFFDEFCFBCE,32
